10 Targets,,,"relevantbachNumbers=[9,10,11,12,13]",
Bin,11,41,14,44
0,0.0163934426,,,
0.1,,,0.015625,
0.2,0.0327868852,0.0819672131,,0.0151515152
0.3,0.0163934426,0.0819672131,,0.0757575758
0.4,0.1639344262,0.2131147541,0.125,0.1363636364
0.5,0.1147540984,0.1475409836,0.109375,0.2272727273
0.6,0.2131147541,0.2786885246,0.359375,0.3333333333
0.7,0.2131147541,0.0655737705,0.171875,0.0909090909
0.8,0.1475409836,0.0983606557,0.15625,0.1060606061
0.9,0.0819672131,0.0327868852,0.046875,0.0151515152
1,,,0.015625,
,0.1111111111,0.125,0.125,0.125
